Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
SHERINGHAM POINT,48.377,-123.921,BC,9.5,1,NA,14.4,1,5.1,0,,,NA,128.6,1,NA,,15,,,NA,228.2,0,1017254
VICTORIA UNIVERSITY CS,48.457,-123.305,BC,8.3,1,NA,14.9,1,0,0,,,NA,82.6,8,NA,,14,,,NA,261.6,0,1018598
VICTORIA FRANCIS PARK,48.476,-123.443,BC,,,NA,,,,,0,18,NA,70,18,NA,,10,,,NA,,,1018605
VICTORIA GONZALES CS,48.413,-123.325,BC,8.9,0,NA,13.4,0,3.4,0,,,NA,71.6,8,NA,,12,,,NA,255,0,1018611
VICTORIA HIGHLANDS NORTH,48.538,-123.501,BC,8.1,14,NA,13.3,13,1.8,12,0,13,NA,113.6,13,NA,,14,,,NA,139.3,0,1018618
VICTORIA INTL A,48.647,-123.426,BC,7.8,0,NA,14.4,0,-0.5,0,0,0,NA,112,0,NA,,14,,,NA,285.7,0,1018621
WILLIAM HEAD,48.34,-123.539,BC,9.2,1,3,14,1,3.5,1,0,1,NA,83.9,1,NA,0,14,,,NA,238.6,0,1018935
BALLENAS ISLAND,49.35,-124.16,BC,8.1,0,NA,13.7,0,4,0,,,NA,103,2,NA,,12,,,NA,277.5,0,1020590
CAMPBELL RIVER A,49.952,-125.273,BC,6.3,1,3,14.4,1,-5,1,0,1,NA,154.2,1,NA,0,15,,,NA,317.2,0,1021261
CAMPBELL RIVER SURFSIDE,49.945,-125.208,BC,,,,,,,,0,0,0,146.4,0,99,0,15,,,NA,,,1021266
CARWAY,49.001,-113.376,AB,-2.3,0,NA,16,0,-18.7,0,,,NA,19.1,2,NA,16,3,,,NA,568.6,0,3031402
CHAMPION AGDM,50.282,-113.35,AB,-4.7,0,NA,17.9,0,-23.4,0,,,NA,3.9,4,NA,,1,,,NA,635.6,0,3031480
CLARESHOLM,50.004,-113.639,AB,-3.4,0,NA,17,0,-24.7,0,,,NA,7.8,1,NA,2,3,,,NA,599.4,0,3031640
COP UPPER,51.076,-114.222,AB,-4.7,0,NA,13.7,0,-18.9,0,,,NA,5.6,0,NA,,2,,,NA,636.9,0,3031875
ENCHANT AGDM,50.183,-112.433,AB,-5,0,NA,15.4,0,-21.8,0,,,NA,4.8,2,NA,,2,,,NA,642.9,0,3032422
ETZIKOM AGCM,49.553,-111.054,AB,-5.8,0,NA,17.1,0,-26.4,0,,,NA,8.3,2,NA,,3,,,NA,665.8,0,3032450
FINCASTLE AGDM,49.8,-112.033,AB,-3.7,0,NA,16.3,0,-18.9,0,,,NA,8.4,4,NA,,2,,,NA,606.5,0,3032550
FOREMOST AGDM,49.483,-111.486,AB,-4.8,0,NA,15.4,0,-25.1,0,,,NA,4.5,8,NA,,2,,,NA,637.2,0,3032642
FORT MACLEOD AGCM,49.786,-113.379,AB,-2.6,1,NA,16.2,1,-22.3,0,,,NA,2.6,9,NA,,1,,,NA,555.6,0,3032683
GLEICHEN AGCM,50.934,-112.941,AB,-7.2,0,NA,11,0,-22.7,0,,,NA,3.1,0,NA,,0,,,NA,705,0,3032801
GRASSY LAKE,49.874,-111.733,AB,-4.8,0,NA,17.2,0,-26,0,,,NA,8.7,5,NA,,3,,,NA,638.6,0,3032927
IRON SPRINGS AGDM,49.9,-112.733,AB,-3.4,0,NA,16.1,0,-19.8,0,,,NA,4.5,3,NA,,2,,,NA,600,0,3033498
IRVINE AGCM,49.989,-110.261,AB,-6.2,0,NA,12.4,0,-26.2,0,,,NA,12,8,NA,,3,,,NA,677.6,0,3033550
LETHBRIDGE,49.63,-112.799,AB,-3.2,4,NA,16.1,3,-24.7,4,,,NA,0,7,NA,,0,,,NA,509.8,0,3033875
LETHBRIDGE CDA,49.695,-112.768,AB,-2.5,0,NA,17.1,0,-23.3,0,,,NA,2.8,0,NA,,0,,,NA,574.7,0,3033890
LETHBRIDGE CDA 2,49.7,-112.783,AB,,,NA,,,,,1,2,NA,0.8,2,NA,0,0,,,NA,,,3033892
LETHBRIDGE DEMO FARM AGDM,49.683,-112.75,AB,-2.8,0,NA,16.3,0,-23.2,0,,,NA,2.8,3,NA,,0,,,NA,583.2,0,3033897
MEDICINE HAT,50.019,-110.721,AB,-5.9,0,NA,13.7,0,-25.5,0,,,NA,4.2,0,NA,,2,,,NA,669.2,0,3034479
MEDICINE HAT RCS,50.025,-110.717,AB,-6,0,NA,14.9,0,-27.2,0,,,NA,9.3,0,NA,2,3,,,NA,671.6,0,3034485
MOSSLEIGH AGCM,50.673,-113.349,AB,-6.3,0,NA,13.7,0,-24.8,0,,,NA,3.4,1,NA,,2,,,NA,680.3,0,3034577
NEIR AGDM,51.369,-114.099,AB,-5.3,0,NA,14.4,0,-21.9,0,,,NA,2.9,3,NA,,1,,,NA,651.2,0,3034795
PINCHER CREEK,49.521,-113.997,AB,-2.4,1,NA,13.5,1,-22.7,1,,,NA,6.8,1,NA,,3,,,NA,551.2,0,3035198
PINCHER CREEK CLIMATE,49.522,-114.005,AB,-2.5,0,NA,13.4,0,-22.9,0,,,NA,17.3,0,NA,5,7,,,NA,573.3,0,3035208
QUEENSTOWN,50.606,-112.983,AB,-6.4,0,-0.8,15,0,-24.5,0,1,0,6,1,0,6,0,1,,,NA,683,0,3035340
QUEENSTOWN,50.598,-112.803,AB,,,NA,,,,,,,NA,4.1,1,NA,,0,,,NA,,,3035342
RAYMOND AGDM,49.483,-112.683,AB,-2.8,0,NA,16,0,-22.6,0,,,NA,3.6,3,NA,,1,,,NA,583.5,0,3035422
ROLLING HILLS AGCM,50.265,-111.701,AB,-6.6,0,NA,12.5,0,-28.2,0,,,NA,4.2,4,NA,,2,,,NA,689.1,0,3035530
ROSEMARY AGDM,50.833,-112.05,AB,-10,0,NA,9.5,0,-31.2,0,,,NA,7.1,6,NA,,3,,,NA,782.9,0,3035650
SEVEN PERSONS AGDM,49.917,-110.917,AB,-5.6,0,NA,14.9,0,-23.6,0,,,NA,8.8,1,NA,,3,,,NA,659.4,0,3035845
STANDARD AGCM,51.228,-112.982,AB,-7.1,0,NA,10.1,0,-20.9,0,,,NA,15.7,0,NA,,4,,,NA,703.6,0,3036086
STAVELY AAFC,50.183,-113.883,AB,-3,0,NA,15.1,0,-18.5,0,,,NA,11.3,0,NA,,5,,,NA,589.1,0,3036099
STRATHMORE AGDM,51.033,-113.283,AB,-7,0,NA,10.6,0,-23.5,0,,,NA,3.8,0,NA,,1,,,NA,700.9,0,3036205
TABER,49.792,-112.124,AB,-6.4,15,NA,16.5,10,-20,10,4,10,NA,4,10,NA,,3,,,NA,317.2,0,3036360
TRAVERS AGCM,50.304,-112.863,AB,-4.9,0,NA,16.8,0,-21.6,0,,,NA,1.9,4,NA,,0,,,NA,641.4,0,3036500
VAUXHALL CDA CS,50.05,-112.133,AB,-5,0,NA,17,0,-21.7,0,,,NA,8.8,0,NA,,1,,,NA,643.5,0,3036682
WILDCAT HILLS,51.269,-114.721,AB,-5,4,NA,14.5,4,-22.5,4,12.4,4,NA,13.8,4,NA,4,5,,,NA,552.5,0,3037550
WRENTHAM AGDM,49.5,-112.117,AB,-3.6,0,NA,14.7,0,-21.1,0,,,NA,5,11,NA,,2,,,NA,605.5,0,3037675
OKOTOKS,50.729,-113.961,AB,-4.7,0,0.3,16,0,-22,0,11.5,0,67,11.5,0,66,6,4,,,NA,634.7,0,303M9JM
DEL BONITA AGDM,49.05,-112.817,AB,-2.7,1,NA,15.4,0,-20.2,1,,,NA,8,2,NA,,2,,,NA,558.6,0,3042045
MANYBERRIES AGCM,49.364,-110.678,AB,-6.3,0,NA,14.5,0,-28.6,0,,,NA,10.7,2,NA,,3,,,NA,681.7,0,3044203
MASINASIN AGDM,49.137,-111.652,AB,-3.3,0,NA,16.7,0,-23.3,0,,,NA,5.8,3,NA,0,1,,,NA,596,0,3044232
MILK RIVER,49.133,-112.05,AB,-3.8,0,NA,17.2,0,-23.9,0,,,NA,10.4,0,NA,6,2,,,NA,609.1,0,3044533
ONEFOUR CDA,49.117,-110.467,AB,-6,0,NA,13,0,-26.3,0,,,NA,4.4,0,NA,0,2,,,NA,672,0,3044923
PAKOWKI LAKE AGCM,49.225,-111.126,AB,-4.4,1,NA,14.8,1,-25,1,,,NA,5.8,5,NA,,3,,,NA,606,0,3045000
BANFF CS,51.193,-115.552,AB,-2.5,0,NA,9.9,0,-21.2,0,,,NA,21.8,0,NA,1,7,,,NA,573.1,0,3050519
BEAVER MINES,49.468,-114.175,AB,-2.3,0,NA,12,0,-23.8,0,,,NA,16.2,6,NA,12,4,,,NA,567.5,0,3050602
BOW VALLEY,51.083,-115.067,AB,-3.4,0,NA,13.5,0,-24.3,0,,,NA,22.7,1,NA,,5,,,NA,598.2,0,3050778
CROWSNEST,49.628,-114.482,AB,-2.2,0,NA,11.3,0,-20.8,0,,,NA,0,27,NA,,0,,,NA,564.4,0,3051R4R
JASPER WARDEN,52.926,-118.03,AB,-4.2,0,NA,10,0,-21.6,0,,,NA,25.1,0,NA,18,7,,,NA,621.5,0,3053536
KANANASKIS,51.028,-115.035,AB,-2.8,0,1.9,14,0,-21,0,31.9,0,134,24.4,0,116,12,6,,,NA,581.7,0,3053600
KANANASKIS POCATERRA,50.713,-115.12,AB,-4.8,22,3.3,9,15,-20,15,9,17,NA,9,15,NA,,3,,,NA,137,0,3053604
NORDEGG CS,52.492,-116.04,AB,-5.4,0,NA,13.5,0,-22.4,0,,,NA,30,0,NA,24,7,,,NA,655.8,0,3054843
PEKISKO,50.368,-114.416,AB,-4.5,0,NA,11.3,0,-25.3,0,,,NA,22.2,2,NA,22,5,,,NA,629.5,0,3055119
WATERTON PARK GATE,49.131,-113.809,AB,-2.2,0,NA,13.8,0,-25.9,0,,,NA,31.1,0,NA,,6,,,NA,566.5,0,3056214
NAKISKA RIDGETOP,50.943,-115.19,AB,-6.1,0,NA,5.3,0,-18.7,0,,,NA,,,NA,,,,,NA,675.2,0,305MGFF
ATHABASCA AGCM,54.635,-113.382,AB,-10.8,0,NA,8.1,0,-26.4,0,,,NA,19.1,0,NA,,5,,,NA,805.3,0,3060330
ATMORE AGDM,54.782,-112.825,AB,-12.6,2,NA,7.1,2,-32.8,2,,,NA,19.7,5,NA,12,6,,,NA,795,0,3060406
BARRHEAD CS,54.095,-114.448,AB,-9.6,0,NA,11.3,0,-26.9,0,,,NA,19.1,0,NA,18,6,,,NA,772.5,0,3060535
BRULE BLACK CAT,53.35,-117.867,AB,-6.3,13,0.2,12,10,-23.5,6,23.2,6,NA,23.2,6,NA,32,7,,,NA,364.9,0,3060903
CAMPSIE AUTO,54.131,-111.678,AB,-9.2,0,NA,12.4,0,-29.8,0,,,NA,19,0,NA,15,6,,,NA,762.8,0,3061201
DAPP AGDM,54.317,-113.95,AB,-11.8,0,NA,6.9,0,-31,0,,,NA,15.7,4,NA,,6,,,NA,833.5,0,3061975
EDSON,53.579,-116.465,AB,-8.3,4,NA,9,4,-26,4,,,NA,14.1,4,NA,,2,,,NA,631,0,3062239
EDSON CLIMATE,53.58,-116.453,AB,-7.6,0,NA,12.9,0,-28.2,0,,,NA,28.2,0,NA,35,6,,,NA,717.7,0,3062246
ENTWISTLE,53.6,-114.983,AB,-5,11,2.5,14,11,-25,11,33,11,NA,33,11,NA,0,7,,,NA,390.3,0,3062451
EVANSBURG AGCM,53.573,-115.124,AB,-7.8,0,NA,11.8,0,-25.2,0,,,NA,25.3,1,NA,,7,,,NA,722,0,3062475
FORT ASSINIBOINE AGCM,54.41,-114.769,AB,-9.2,0,NA,12.2,0,-26.5,0,,,NA,19.5,0,NA,,6,,,NA,761.3,0,3062660
FORT MCMURRAY CS,56.651,-111.213,AB,-17.6,0,NA,2.9,0,-39.6,0,,,NA,25.5,0,NA,27,7,,,NA,995.8,0,3062696
FORT MCMURRAY A,56.653,-111.223,AB,-18.2,6,NA,-2.8,6,-38.5,4,,,NA,19.8,6,NA,,4,,,NA,795.6,0,3062697
HENDRICKSON CREEK,53.795,-118.447,AB,-7.7,1,NA,9.4,1,-27.9,0,,,NA,28.5,2,NA,81,7,,,NA,694.6,0,3063135
HIGH PRAIRIE AGDM,55.396,-116.479,AB,-9.9,0,NA,8.3,0,-27.5,0,,,NA,14.5,8,NA,,7,,,NA,780.9,0,3063165
ISLAND LAKE SOUTH,54.821,-113.543,AB,-11.5,0,NA,7.1,0,-30.7,0,,,NA,24.6,0,NA,11,6,,,NA,824.8,0,3063600
LAC LA BICHE CLIMATE,54.769,-112.024,AB,-13.2,0,NA,8.1,0,-30,0,,,NA,24.1,0,NA,24,6,,,NA,873.3,0,3063686
MILDRED LAKE,57.041,-111.559,AB,-16.7,0,NA,2.9,0,-36,0,,,NA,29.2,1,NA,41,8,,,NA,971.5,0,3064528
RICH LAKE AGDM,54.5,-111.7,AB,-14.3,0,NA,6.8,0,-32.4,0,,,NA,16.1,0,NA,,6,,,NA,904.4,0,3065475
SLAVE LAKE,55.293,-114.777,AB,-10.7,1,NA,7.7,1,-25,1,,,NA,18,1,NA,,4,,,NA,774.1,0,3065995
SLAVE LAKE RCS,55.293,-114.777,AB,-11,0,NA,7,0,-25.5,0,,,NA,14.6,1,NA,2,6,,,NA,813.3,0,3065997
TAWATINAW AGCM,54.3,-113.52,AB,-11.3,0,NA,6.4,0,-25.6,0,,,NA,16.8,7,NA,,7,,,NA,820.8,0,3066367
WHITECOURT,54.14,-115.784,AB,-8.2,0,NA,12.3,0,-23,0,,,NA,,,NA,,,,,NA,732.9,0,3067371
WHITECOURT A,54.144,-115.787,AB,-8.6,0,NA,11.6,0,-24,0,,,NA,,,NA,22,,,,NA,745.6,0,3067373
WILLOW CREEK 1,53.386,-118.348,AB,-6.7,0,NA,9.4,0,-26.5,0,,,NA,25.3,3,NA,42,7,,,NA,692.5,0,306GE70
BEAVERLODGE RCS,55.197,-119.396,AB,-8,2,NA,10.4,1,-27.1,1,,,NA,37.9,2,NA,7,10,,,NA,674.8,0,3070600
BROWNVALE AGCM,56.118,-117.886,AB,-10.6,0,NA,6.8,0,-24.4,0,,,NA,15.9,7,NA,,5,,,NA,801.4,0,3070800
EAGLESHAM AGCM,55.808,-117.887,AB,-10.6,0,NA,7.5,0,-26.9,0,,,NA,16.4,3,NA,,7,,,NA,800.9,0,3072151
EGG ISLAND,58.981,-110.439,AB,-22.8,1,NA,-4.5,1,-39,0,,,NA,,,NA,,,,,NA,1101.6,0,3072246
FAIRVIEW AGDM,56.081,-118.439,AB,-10.9,0,NA,6.8,0,-27,0,,,NA,20.4,7,NA,,9,,,NA,808.3,0,3072525
FORT CHIPEWYAN,58.767,-111.117,AB,-22.5,1,NA,-3,1,-40.3,1,,,NA,12.9,1,NA,,2,,,NA,1093.9,0,3072655
FORT CHIPEWYAN RCS,58.767,-111.117,AB,-22.8,0,NA,-3.2,0,-40.8,0,,,NA,44,0,NA,30,17,,,NA,1142.5,0,3072659
FORT VERMILION,58.382,-116.04,AB,-17.8,0,NA,3.1,0,-34.4,0,,,NA,28.9,0,NA,0,5,,,NA,1002.5,0,3072723
GRANDE PRAIRIE A,55.18,-118.885,AB,-9.7,0,NA,7.8,0,-30.5,0,29.4,1,NA,26.4,1,NA,29,8,,,NA,774.4,0,3072921
HAWK HILLS AGCM,57.265,-117.298,AB,-14.8,0,NA,7.2,0,-35.9,0,,,NA,18.4,0,NA,,5,,,NA,917.8,0,3073071
HIGH LEVEL,58.622,-117.165,AB,-17.9,1,NA,4.3,1,-37,0,,,NA,23.1,1,NA,,4,,,NA,969,0,3073140
HIGH LEVEL A,58.621,-117.165,AB,-18.6,0,-1.7,4.4,0,-38,0,50.8,0,241,37.8,0,216,57,8,,,NA,1024.7,0,3073146
CAPE MUDGE,49.998,-125.195,BC,7.9,2,3.3,16,2,1.5,2,0,2,NA,73.6,2,NA,0,12,,,NA,263.1,0,1021330
CHATHAM POINT,50.333,-125.446,BC,7.8,1,3.2,12,1,1.5,1,0,1,NA,192,1,NA,0,14,,,NA,276.3,0,1021480
CHROME ISLAND,49.472,-124.683,BC,8.3,0,NA,14,0,2.5,0,0,0,NA,234.8,0,NA,0,16,,,NA,270.4,0,1021500
COMOX A,49.717,-124.9,BC,7.4,0,3.1,13.5,0,-1.1,0,0,0,0,173.3,0,152,,11,,,NA,296.9,0,1021830
CORTES ISLAND TIBER BAY,50.071,-124.949,BC,8.5,14,NA,14.4,14,-1.5,14,0,14,NA,100,14,NA,0,12,,,NA,132.8,0,1021960
COURTENAY GRANTHAM,49.763,-124.999,BC,7.6,6,NA,13.5,6,0.5,6,0,6,NA,140.1,6,NA,,13,,,NA,229.2,0,1021988
COURTENAY PUNTLEDGE,49.686,-125.033,BC,6.9,7,NA,16,4,-3,4,0,4,NA,152.1,4,NA,0,13,,,NA,232.6,0,1021989
ENTRANCE ISLAND,49.209,-123.811,BC,8.3,0,NA,13.2,0,4.5,0,,,NA,84.4,0,NA,,12,,,NA,271.1,0,1022689
FANNY ISLAND,50.454,-125.993,BC,8.3,0,NA,12.5,0,2.4,0,,,NA,167.6,7,NA,,15,,,NA,272,0,1022795
HERIOT BAY SE,50.099,-125.203,BC,7.4,4,NA,13,4,0.5,4,0,4,NA,164.8,4,NA,0,15,,,NA,254.2,0,1023462
LITTLE QUALICUM HATCHERY,49.353,-124.512,BC,6.6,0,2.9,13.5,0,-4,0,0,0,0,167.9,0,147,0,13,,,NA,319.1,0,1024638
MUD BAY,49.471,-124.794,BC,7.5,1,3.5,14,1,-1,0,0,0,0,299.4,0,160,0,15,,,NA,283,0,1025240
ONATCHIWAY,48.894,-71.032,QC,-23.7,0,NA,-6.9,0,-43.5,0,,,NA,12.9,1,NA,,4,,,NA,1167.9,0,7065738
PERIBONCA,48.767,-72.033,QC,-22.6,2,NA,-6,2,-43,0,9.5,1,NA,9.5,1,NA,45,3,,,NA,1056.3,0,7065960
ROBERVAL A,48.52,-72.266,QC,-21.9,0,NA,-4.7,0,-38,0,13.8,1,NA,13.8,0,NA,18,3,,,NA,1116.4,0,7066686
ST AMBROISE,48.567,-71.333,QC,-22.1,9,-7.2,-5,9,-43.5,1,20.6,1,NA,20.6,1,NA,24,6,,,NA,762.8,0,7066820
ST PRIME,48.617,-72.417,QC,-21.4,3,-7.1,-3,3,-38,2,16,1,NA,16,1,NA,14,5,,,NA,984.4,0,7067658
LAC BENOIT,51.533,-71.111,QC,-29.4,2,NA,-10.6,2,-49.6,1,,,NA,,,NA,,,,,NA,1233.5,0,706I001
MANOUANE EST,50.656,-70.532,QC,-27.1,2,NA,-10.1,2,-43.7,1,,,NA,6.5,2,NA,,2,,,NA,1172.9,0,706I155
LA BAIE,48.298,-70.92,QC,-22.2,0,NA,-5,0,-39.7,0,,,NA,,,NA,,,,,NA,1125.9,0,706Q001
GRANDE ANSE,47.1,-72.933,QC,-19.9,2,-7.8,-3,2,-38,2,26.6,0,62,26.6,0,55,48,6,,,NA,986.4,0,7072816
PARENT,47.922,-74.624,QC,-23.1,0,NA,-5.6,0,-39.5,0,,,NA,16.9,0,NA,46,5,,,NA,1149.4,0,7075800
ST MICHEL DES SAINTS,46.683,-73.917,QC,-20.1,19,-8.4,-4,13,-37,16,25,2,NA,25,2,NA,,7,,,NA,343,0,7077570
SAINT-MICHEL-DES-SAINTS,46.816,-74.094,QC,-20.5,0,NA,-5.5,0,-36.6,0,,,NA,14.9,7,NA,43,6,,,NA,1079.3,0,7077571
LA TUQUE,47.411,-72.788,QC,-21.9,0,NA,-3.7,0,-38.3,0,,,NA,19,0,NA,39,8,,,NA,1118.2,0,707DBD4
BARRAGE TEMISCAMINGUE,46.71,-79.101,QC,-17.7,0,NA,-4.1,0,-30,0,,,NA,28.9,0,NA,57,13,,,NA,999.6,0,7080468
MONT BRUN,48.417,-78.733,QC,,,,-5.5,19,-27.5,26,34,0,77,34,0,71,64,11,,,NA,,,7085106
ROUYN,48.246,-79.034,QC,-21.8,0,NA,-4.6,0,-34.1,0,,,NA,24.6,0,NA,,12,,,NA,1114.2,0,7086716
CHAPAIS,49.823,-74.975,QC,-24.8,0,NA,-6.5,0,-41.1,0,,,NA,,,NA,,,,,NA,1199.3,0,7091299
CHIBOUGAMAU CHAPAIS A,49.767,-74.533,QC,-25.5,8,NA,-10.5,8,-42.4,8,11.6,8,NA,11.6,8,NA,,2,,,NA,869.5,0,7091404
LA GRANDE 4 A,53.755,-73.675,QC,-29.2,0,NA,-13.2,0,-45.5,0,,,NA,1,0,NA,,0,,,NA,1322.4,0,7093714
LA GRANDE RIVIERE A,53.625,-77.704,QC,-28.4,0,NA,-11.6,0,-42.1,0,10.4,1,NA,10.4,1,NA,34,5,,,NA,1300.1,0,7093716
LA GRANDE IV A,53.757,-73.679,QC,,,NA,,,,,10.7,0,NA,7.7,0,NA,96,2,,,NA,,,7093GJ3
LA GRANDE IV,53.757,-73.679,QC,-29.2,0,NA,-13.3,0,-45.7,0,,,NA,19.6,2,NA,55,8,,,NA,1322.9,0,7093GJ5
MATAGAMI A,49.762,-77.803,QC,-24.7,1,NA,-5.7,1,-39.2,1,,,NA,3.4,2,NA,,0,,,NA,1153.6,0,7094636
MATAGAMI,49.758,-77.793,QC,-24.6,0,NA,-5.9,0,-38.3,0,,,NA,8.4,4,NA,,3,,,NA,1191.4,0,7094637
VAL-D'OR A,48.056,-77.787,QC,,,NA,,,,,24.8,0,NA,16,0,NA,29,6,,,NA,,,7098600
VAL-D'OR,48.056,-77.786,QC,-22.2,0,NA,-5,0,-36.5,0,,,NA,9.6,3,NA,41,3,,,NA,1124.3,0,7098603
VAL D'OR A,48.053,-77.783,QC,-21.9,0,NA,-4.9,0,-36.1,0,,,NA,1.6,0,NA,,0,,,NA,1116.8,0,7098605
LAC BERRY,48.8,-78.283,QC,-24,5,-8.3,-5.5,4,-44,3,3.9,9,NA,3.9,9,NA,55,2,,,NA,965.7,0,709CEE9
INUKJUAK,58.472,-78.077,QC,-31.4,0,NA,-17.6,0,-41.7,0,,,NA,2.6,0,NA,,0,,,NA,1383.7,0,7103280
INUKJUAK A,58.472,-78.077,QC,-31.6,0,NA,-17.8,0,-42,0,,,NA,1.3,3,NA,0,0,,,NA,1387.9,0,710S005
KUUJJUAQ A,58.089,-68.422,QC,-30.1,0,NA,-17.5,0,-41.9,0,2.4,0,NA,5.6,1,NA,27,1,,,NA,1347.8,0,7113535
PARC NATIONAL DES PINGUALUIT,61.313,-73.668,QC,-36.1,0,NA,-26.7,0,-44.5,0,,,NA,0.2,8,NA,5,0,,,NA,1514.4,0,7115800
RIVIERE AUX FEUILLES,57.909,-72.976,QC,-34.3,0,NA,-22.1,0,-48.9,0,,,NA,1.4,7,NA,3,0,,,NA,1465.6,0,7116505
SALLUIT,62.179,-75.67,QC,-31.2,0,NA,-23.3,0,-37.3,0,,,NA,2,3,NA,,0,,,NA,1377.5,0,7117800
SCHEFFERVILLE A,54.805,-66.805,QC,-28.6,0,NA,-15,0,-43.5,0,,,NA,7.2,0,NA,,1,,,NA,1304.7,0,7117823
SCHEFFERVILLE,54.8,-66.8,QC,-28.8,0,NA,-13.7,0,-43.3,0,,,NA,6.3,0,NA,34,1,,,NA,1310.3,0,7117827
AROOSTOOK,46.712,-67.716,NB,-17.9,0,-7.4,-1,0,-34,0,67,0,133,67,0,105,66,9,,,NA,1005.8,0,8100300
BAS CARAQUET,47.802,-64.833,NB,-15.7,0,NA,-2.8,0,-30.8,0,,,NA,105.7,0,NA,,16,,,NA,944.5,0,8100467
BAS CARAQUET,47.8,-64.867,NB,,,NA,,,,,165,0,NA,165,0,NA,146,14,,,NA,,,8100468
BATHURST A,47.63,-65.739,NB,-16.9,0,NA,-2.5,0,-35.1,0,76.6,1,NA,77.4,0,NA,92,12,,,NA,977,0,8100505
BUCTOUCHE CDA CS,46.43,-64.768,NB,-14.6,0,NA,0.5,0,-28.9,0,,,NA,70.3,1,NA,,10,,,NA,913,0,8100593
CHARLO AUTO,47.99,-66.334,NB,-16.6,0,NA,-2.8,0,-31.6,0,,,NA,31.9,1,NA,37,9,,,NA,969,0,8100885
MIRAMICHI RCS,47.009,-65.465,NB,-15.4,0,NA,-0.9,0,-30.5,0,,,NA,75.3,0,NA,76,10,,,NA,936.2,0,8100989
DOAKTOWN AUTO RCS,46.585,-66.01,NB,-16.1,0,NA,-1.3,0,-31.7,0,,,NA,76.3,1,NA,102,8,,,NA,956.1,0,8101201
EDMUNDSTON,47.417,-68.324,NB,-19,0,NA,-2.1,0,-35.7,0,,,NA,18.2,0,NA,46,5,,,NA,1036.8,0,8101303
